### Footprint positions - created on 2026-01-22T12:56:30-0500 ###
### Printed by KiCad version 9.0.3
## Unit = mm, Angle = deg.
## Side : All
# Ref       Val                       Package                                          PosX       PosY       Rot  Side
R1046_3     1K                        GEN_R_0402                                    44.5000    51.4250  -90.0000  bottom
R1046_4     1K                        GEN_R_0402                                    44.5000    30.9250  -90.0000  bottom
R1052_1     10K                       GEN_R_0402                                    38.2000    82.9000  180.0000  bottom
R1052_2     10K                       GEN_R_0402                                    38.2000    62.4000  180.0000  bottom
R1052_3     10K                       GEN_R_0402                                    38.2000    41.9000  180.0000  bottom
R1052_4     10K                       GEN_R_0402                                    38.2000    21.4000  180.0000  bottom
U1          SN74LVC1G17               GEN_SC-70-5                                    8.3500    90.5000  180.0000  bottom
U10         FIN1019MTCX               GEN_TSSOP-14_4.4x5mm_P0.65mm                 103.0750    33.4750   90.0000  bottom
U11         TPSM82913                 TI_B0QFN_RDU0028A                             51.7500    20.4250  -90.0000  bottom
U19         MX25L6433FZNI-08G         MX_WSON8                                      74.8600    50.7900  180.0000  bottom
C2          1uF                       GEN_C_0402                                    66.1100    87.6000  180.0000  top
C3          1uF                       GEN_C_0402                                    70.0950    87.6000    0.0000  top
C4          100pF                     GEN_C_0402                                    77.8200    87.8850   90.0000  top
C5          1uF                       GEN_C_0402                                    75.5000    94.2850    0.0000  top
C6          1uF                       GEN_C_0402                                    75.4500    89.6850    0.0000  top
C7          1uF                       GEN_C_0402                                    77.3500    89.6850  180.0000  top
C8          1uF                       GEN_C_0402                                    81.3675    89.0900  180.0000  top
C9          10uF                      GEN_C_0603                                    94.8250    38.4112    0.0000  top
C10         10uF                      GEN_C_0603                                    68.1250    45.1500  180.0000  top
C11         1uF                       GEN_C_0402                                    80.4225    94.2850    0.0000  top
C14         10uF                      GEN_C_0603                                    81.7500    66.3250  180.0000  top
C16         1uF                       GEN_C_0402                                    81.2000    65.0500    0.0000  top
C17         1uF                       GEN_C_0402                                    71.6000    64.8000   90.0000  top
C18         1uF                       GEN_C_0402                                    71.6000    61.0750  -90.0000  top
C19         1uF                       GEN_C_0402                                    81.4322    60.9250    0.0000  top
C24         1uF                       GEN_C_0402                                    81.4322    62.1000    0.0000  top
C51         1uF                       GEN_C_0402                                    85.4000    67.6750  180.0000  top
C62         1uF                       GEN_C_0402                                    83.8750    61.4750  -90.0000  top
C64         0                         GEN_R_0402                                    94.3750    58.4000   90.0000  top
C65         100nF                     GEN_C_0402                                    94.8250    59.8500  180.0000  top
C66         100nF                     GEN_C_0402                                    94.8250    60.8500    0.0000  top
C67         100nF                     GEN_C_0402                                    94.8250    61.8500    0.0000  top
C68         1uF                       GEN_C_0402                                    98.3250    60.2000  180.0000  top
C70_1       1uF                       GEN_C_0402                                    82.1218    72.5750  -90.0000  top
C70_2       1uF                       GEN_C_0402                                    76.5717    72.5750  -90.0000  top
C70_3       1uF                       GEN_C_0402                                    71.0217    72.5750  -90.0000  top
C70_4       1uF                       GEN_C_0402                                    65.4716    72.5750  -90.0000  top
C71         10uF                      GEN_C_0603                                    64.9000    46.6500    0.0000  top
C72         10uF                      GEN_C_0603                                    98.0750    38.4112  180.0000  top
C73         10uF                      GEN_C_0603                                    98.0750    39.9112  180.0000  top
C74         100pF                     GEN_C_0402                                    98.9750    45.1112  180.0000  top
C75         22uF                      GEN_C_0805                                    97.0750    44.5112   90.0000  top
C76         1uF                       GEN_C_0402                                    49.5000    83.3750  180.0000  top
C82         100nF                     GEN_C_0402                                    82.3225    95.2250    0.0000  top
C85         10uF                      GEN_C_0603                                    81.1075    87.8400    0.0000  top
C91         1uF                       GEN_C_0402                                    83.8750    59.5750  -90.0000  top
C93         10uF                      GEN_C_0603                                    79.8725    95.5350  180.0000  top
C94         10uF                      GEN_C_0603                                    75.7750    95.5350  180.0000  top
C97         22uF                      GEN_C_0805                                    88.6300    85.8400  180.0000  top
C101        22uF                      GEN_C_0805                                   104.7400    92.1250    0.0000  top
C102        1uF                       GEN_C_0402                                   104.5750    88.7750  180.0000  top
